iter	TotalF1	MultiClass
111	0.8956066776	0.4220934441
112	0.8968550318	0.4208359015
113	0.8965478935	0.417162368
114	0.8990469676	0.4161603477
115	0.8977936267	0.4134733832
116	0.8990590031	0.412926485
117	0.9005696597	0.411273998
118	0.9014905425	0.4109163202
119	0.9021225664	0.4097041684
120	0.8999469479	0.4073208771
121	0.9018117182	0.404983763
122	0.9017917311	0.4031567606
123	0.9027117769	0.401521645
124	0.9039583305	0.4004512862
125	0.9027117769	0.3996412641
126	0.9030406282	0.3984195955
127	0.9033465685	0.397584858
128	0.9033429743	0.3957262848
129	0.9045735454	0.3947837339
130	0.9024020983	0.3930641839
131	0.9017710178	0.392327101
132	0.9042422212	0.3904593739
133	0.9074181644	0.3890074356
134	0.9061041279	0.3862572551
135	0.9076389392	0.3833988276
136	0.9070033599	0.382407729
137	0.9070033599	0.3816658245
138	0.9066965239	0.3813429127
139	0.9105560531	0.3802744412
140	0.9108583337	0.3795067629
141	0.9147662637	0.3779117784
142	0.9147662637	0.3769566112
143	0.9151016054	0.3760804315
144	0.9144894791	0.374800213
145	0.9141819598	0.3738741814
146	0.915126603	0.3733552664
147	0.9160460573	0.3720562747
148	0.9147662637	0.3715074739
149	0.9157161699	0.3694310056
150	0.9163306052	0.3681101053
151	0.9175732072	0.366221446
152	0.9212119906	0.3638124044
153	0.9205399156	0.3631856614
154	0.9217613735	0.3619513143
155	0.9220313479	0.3607802668
156	0.9224079592	0.3590045609
157	0.9217355837	0.3582928788
158	0.9226875823	0.3571314649
159	0.9233291732	0.3555174557
160	0.9223879222	0.3536786372
161	0.924896077	0.3525471709
162	0.9239432952	0.3504312966
163	0.9233368443	0.3489858704
164	0.9245250807	0.3478317242
165	0.9236011432	0.3466686334
166	0.9262347808	0.3454791534
167	0.9268746319	0.3446452189
168	0.9287415162	0.3432591103
169	0.9284348409	0.3418028904
170	0.9307022806	0.340724674
171	0.9297189651	0.340308199
172	0.930705397	0.3396776999
173	0.931953971	0.3367683151
174	0.9341263626	0.3352484287
175	0.9347682287	0.333763021
176	0.934159169	0.3321028579
177	0.9325607643	0.330619889
178	0.936391255	0.3296907697
179	0.9354415508	0.327510894
180	0.9348326422	0.3261225008
181	0.9334364636	0.3245014311
182	0.9334730031	0.3234055687
183	0.9353373587	0.3226303771
184	0.9359824074	0.3215296795
185	0.9359824074	0.321362648
186	0.9365903573	0.3208310489
187	0.9385623355	0.319728647
188	0.9398167309	0.317651776
189	0.937915556	0.3156880026
190	0.9395115638	0.3137159433
191	0.9404634936	0.3126297071
192	0.9410738238	0.3113015589
193	0.9410738238	0.3104217067
194	0.9413388239	0.3086251286
195	0.9416375364	0.3074509221
196	0.9436112153	0.3071049032
197	0.943348327	0.304932548
198	0.9436503961	0.3042893614
199	0.943348327	0.3025822966
200	0.9439158639	0.3012500757
201	0.9451706368	0.3003292648
202	0.9459305523	0.2981612483
203	0.9471461157	0.2966192868
204	0.9487034756	0.2955339297
205	0.9487005207	0.2938103525
206	0.9493057592	0.2921883763
207	0.9493057592	0.2920028246
